"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000261716.2","0.00001","IVW",56,-0.0714455006921857,0.243559433706936,0.769262983725264,50.0938093182656,0.662159979493741,5.55311956139874e-13,0.986781600590868
"ENSG00000184678.11","0.00001","IVW",58,-0.0244130898137463,0.280133374403752,0.930553796811247,54.2569673448922,0.578635987752167,4.96848450424269e-14,0.989335268518161
"ENSG00000184260.6","0.00001","IVW",58,-0.296392452276722,0.168090320620039,0.0778511188506791,51.1553606330246,0.692966267355391,3.55365468812118e-13,0.986453692070973
"ENSG00000178096.9","0.00001","IVW",58,0.236979341692122,0.256286825209261,0.355140425229695,53.4095576067803,0.610561917280594,8.55985683271977e-14,0.988568302291965
"ENSG00000159164.10","0.00001","IVW",59,-1.41560374925778,0.827682073359107,0.0872061469840921,53.0764811126393,0.658493951782952,1.18984868926379e-13,0.987593488905463
"ENSG00000143368.10","0.00001","IVW",59,-0.119903327086513,0.347830110576947,0.730306326209823,55.8828555821873,0.554436097617071,1.98214405864517e-14,0.990078601176676
"ENSG00000014914.21","0.00001","IVW",59,0.193044132062484,0.154834897396477,0.212480358203096,55.84297160427,0.555934989404665,2.03396417100709e-14,0.990044673959253
"ENSG00000264522.6","0.00001","IVW",64,-0.694118525854602,0.510929769135985,0.174292400791466,59.3796742478827,0.606109546907651,3.96730248344402e-15,0.989792642775751
"ENSG00000285184.4","0.00001","IVW",66,-0.060701669153673,0.0617883177971529,0.325896245084857,60.4148037269798,0.638012068455728,2.60519760691624e-15,0.989439474613888
"ENSG00000136631.15","0.00001","IVW",66,0.0253512467655816,0.105264304934632,0.809683606403025,61.3219386235949,0.606453761576326,1.47166995317556e-15,0.990110329595109
"ENSG00000023902.14","0.00001","IVW",76,0.947817121670163,0.291123546862353,0.00113104729670772,62.6038122929488,0.845835596049651,1.63562841809241e-15,0.986489072069738
"ENSG00000285554.1","0.00001","IVW",78,0.13203098070634,0.118987538768918,0.267162708004572,72.8604547396204,0.612464329162344,4.17594979766273e-18,0.991594008967538
"ENSG00000143401.15","0.00001","IVW",79,-2.05970619689586,0.603832267949966,0.000647115964066052,64.0540989366478,0.872189309724522,8.44697579973167e-16,0.98638355196305
"ENSG00000118298.12","0.00001","IVW",80,-0.420347796980499,0.254551978220494,0.0986724293142925,73.0855272629975,0.666186359732574,4.48220276660471e-18,0.99088483883635
"ENSG00000118292.9","0.00001","IVW",80,-0.0896021112306165,0.204856431472337,0.661828688483012,75.6210884680177,0.586862949212572,9.34430554271452e-19,0.992239427372686
"ENSG00000117362.13","0.00001","IVW",80,0.0576789534905196,0.199203290400799,0.77216190300918,75.7285601369359,0.58343529228672,8.73745515632474e-19,0.992295703348489
"ENSG00000289041.1","0.00001","IVW",80,0.643149981740137,0.191829006896927,0.000800200583482003,64.5716307620831,0.879473853619608,6.63130056740174e-16,0.986379872348895
"ENSG00000159208.16","0.00001","IVW",80,-0.415298951888232,0.173113719885589,0.0164401382817524,70.0572211894042,0.753843153828968,2.78598964721429e-17,0.989239608122753
"ENSG00000266472.6","0.00001","IVW",80,-0.149099091974183,0.142504425967217,0.295433197863753,74.7177029004852,0.615516796362015,1.63964481132953e-18,0.991762102253307
"ENSG00000117360.13","0.00001","IVW",80,0.800446438498708,0.211238367000036,0.00015106980853394,61.4535717157596,0.927995891999351,3.7170966807645e-15,0.984899235860666
"ENSG00000163125.16","0.00001","IVW",80,-0.155511939166013,0.142708559810026,0.275837839133952,74.6249152237882,0.618440240528011,1.73674339650981e-18,0.991712684179628
"ENSG00000143374.18","0.00001","IVW",86,0.00797930378787588,0.100879654046299,0.936955266335121,81.7322327692306,0.580271088247083,4.07140884928415e-20,0.992900339699694
"ENSG00000143369.15","0.00001","IVW",86,-0.177459365446553,0.258078560073621,0.491693608904259,81.2656711527076,0.594589184979635,5.43885408851285e-20,0.992683390458164
"ENSG00000228126.1","0.00001","IVW",86,-0.000244815257803477,0.10371256770603,0.998116581843751,81.7384835730454,0.580078864856164,4.05561813820559e-20,0.992903234321227
"ENSG00000143382.16","0.00001","IVW",86,-1.00176970854132,0.235040474145722,2.02500493866992e-05,63.5728584135015,0.96027383541007,1.38542312665689e-15,0.984894908623361
"ENSG00000237781.3","0.00001","IVW",86,-0.090636257238886,0.0945133475930542,0.337569635377793,80.8188496061823,0.608235073965781,7.17070591892589e-20,0.992474093891096
"ENSG00000143384.14","0.00001","IVW",86,0.517248695638324,0.269775173588332,0.0551957093975845,78.062325405441,0.689977716131722,3.86485713132713e-19,0.991161194436009
"ENSG00000143420.19","0.00001","IVW",86,1.4607861784736,0.47534814488662,0.00211856752254638,72.2946257723587,0.835446418405556,1.14991795177192e-17,0.988443865508949
"ENSG00000288880.1","0.00001","IVW",86,0.724295260546037,0.208698220281056,0.000519415391430641,69.6938499296805,0.88510448667086,4.99385448331233e-17,0.987300106285362
"ENSG00000143457.11","0.00001","IVW",89,1.04061977354899,0.244319373925628,2.05104648565235e-05,69.5439561087376,0.926635237631933,6.07765000946964e-17,0.98667554609371
"ENSG00000163131.12","0.00001","IVW",91,0.356481640789064,0.118186770369538,0.00255916483968646,84.0451005213317,0.656908931584425,1.65276797570386e-20,0.992183852151885
"ENSG00000143387.14","0.00001","IVW",92,0.278186335131459,0.0821577479609054,0.000709187528367781,85.1841536855525,0.652075919021028,9.11417417194123e-21,0.992345103040783
"ENSG00000143437.21","0.00001","IVW",92,0.198648435600273,0.0550954430453519,0.000311512953537373,83.3224460415765,0.704069587999216,2.80163935887349e-20,0.991550060980592
"ENSG00000143379.13","0.00001","IVW",93,-0.88653432902905,0.362599220441784,0.0144875143804565,91.1601104471867,0.505144907883702,2.53173457434459e-22,0.994458706714969
"ENSG00000143418.20","0.00001","IVW",93,1.23052107236625,0.406376848120542,0.00246154080388763,87.9141755164557,0.601191534597826,1.90035431413843e-21,0.993161608681807
"ENSG00000143412.10","0.00001","IVW",94,-0.0654615169122528,0.0700858880901461,0.350294343904283,96.6653846005778,0.376739105029717,8.82868679269911e-24,0.99610264722386
